College,State,Financial GPA,Financial Grade
Concordia University-Saint Paul,MN,2.29,C+
Hobart and William Smith Colleges,NY,2.29,C+
Louisiana College,LA,2.29,C+
Piedmont College,GA,2.29,C+
University of San Francisco,CA,2.29,C+
Westminster College,PA,2.29,C+
Albany College of Pharmacy and Health Sciences,NY,2.28,C+
Cornerstone University,MI,2.28,C+
Moravian College,PA,2.28,C+
National University of Health Sciences,IL,2.28,C+
Pontifical Catholic University of Puerto Rico-Ponce,PR,2.28,C+
The University of the Arts,PA,2.28,C+
Calvin College,MI,2.27,C+
Cedar Crest College,PA,2.27,C+
Flagler College-St Augustine,FL,2.27,C+
St. Mary's University,TX,2.27,C+
Tougaloo College,MS,2.27,C+
University of Providence,MT,2.27,C+
University of Western States,OR,2.27,C+
D'Youville College,NY,2.26,C+
Johnson C. Smith University,NC,2.26,C+
Loyola University Chicago,IL,2.26,C+
Manhattan College,NY,2.26,C+
Providence College,RI,2.26,C+
Barnes-Jewish College Goldfarb School of Nursing,MO,2.25,C+
Indiana Wesleyan University-Marion,IN,2.25,C+
Seattle University,WA,2.25,C+
Central Yeshiva Tomchei Tmimim Lubavitz,NY,2.24,C+
Cornell College,IA,2.24,C+
Ouachita Baptist University,AR,2.24,C+
Virginia Union University,VA,2.24,C+
Viterbo University,WI,2.24,C+
Freed-Hardeman University,TN,2.23,C+
Hanover College,IN,2.23,C+
Lawrence Technological University,MI,2.23,C+
Lincoln University,CA,2.23,C+
Madonna University,MI,2.23,C+
Mount Mercy University,IA,2.23,C+
Otterbein University,OH,2.23,C+
Sacred Heart University,CT,2.23,C+
Xavier University,OH,2.23,C+
Friends University,KS,2.22,C+
Lyon College,AR,2.22,C+
AdventHealth University,FL,2.21,C+
Bellevue University,NE,2.21,C+
Bennington College,VT,2.21,C+
Cleveland Institute of Art,OH,2.21,C+
College of Our Lady of the Elms,MA,2.21,C+
Franklin College,IN,2.21,C+
Grace Christian University,MI,2.21,C+
High Point University,NC,2.21,C+
Millikin University,IL,2.21,C+
Rollins College,FL,2.21,C+
South Baylo University,CA,2.21,C+
Tuskegee University,AL,2.21,C+
Drake University,IA,2.2,C+
Illinois College,IL,2.2,C+
Loyola Marymount University,CA,2.2,C+
University of La Verne,CA,2.2,C+
Hope College,MI,2.19,C+
John Carroll University,OH,2.19,C+
Mount Mary University,WI,2.19,C+
Nazareth College,NY,2.19,C+
North Park University,IL,2.18,C+
Oglethorpe University,GA,2.18,C+
Susquehanna University,PA,2.18,C+
Bay Path University,MA,2.17,C+
Franklin University,OH,2.17,C+
Muskingum University,OH,2.17,C+
The College of Saint Scholastica,MN,2.17,C+
Bryant University,RI,2.16,C
Christian Brothers University,TN,2.16,C
Colorado Christian University,CO,2.16,C
Le Moyne College,NY,2.16,C
Rivier University,NH,2.16,C
Walsh College,MI,2.16,C
Washington Adventist University,MD,2.16,C
Atlantic University College,PR,2.15,C
Augustana University,SD,2.15,C
California Lutheran University,CA,2.15,C
Carroll College,MT,2.15,C
Endicott College,MA,2.15,C
La Sierra University,CA,2.15,C
Notre Dame de Namur University,CA,2.15,C
Saint Mary's University of Minnesota,MN,2.15,C
Webster University,MO,2.15,C
Butler University,IN,2.14,C
College of Saint Mary,NE,2.14,C
Lesley University,MA,2.14,C
Los Angeles Pacific University,CA,2.14,C
Loyola University Maryland,MD,2.14,C
MidAmerica Nazarene University,KS,2.14,C
Touro University Worldwide,CA,2.14,C
George Fox University,OR,2.13,C
Marquette University,WI,2.13,C
Sarah Lawrence College,NY,2.13,C
University of Saint Mary,KS,2.13,C
University of the Pacific,CA,2.13,C
University of the Sciences,PA,2.13,C
Whitworth University,WA,2.13,C
Wingate University,NC,2.13,C
DePaul University,IL,2.12,C
Maharishi University of Management,IA,2.12,C
Gordon College,MA,2.11,C
Jefferson (Philadelphia University + Thomas Jefferson University),PA,2.11,C
Mercer University,GA,2.11,C
Oklahoma Baptist University,OK,2.11,C
Palo Alto University,CA,2.11,C
Metropolitan College of New York,NY,2.1,C
Willamette University,OR,2.1,C
Bridgewater College,VA,2.09,C
Dallas Baptist University,TX,2.09,C
Elizabethtown College,PA,2.09,C
Uta Mesivta of Kiryas Joel,NY,2.09,C
LeTourneau University,TX,2.08,C
Multnomah University,OR,2.08,C
St. Norbert College,WI,2.08,C
Walsh University,OH,2.08,C
California College of the Arts,CA,2.07,C
Hope International University,CA,2.07,C
Ohio Northern University,OH,2.07,C
Salve Regina University,RI,2.07,C
McDaniel College,MD,2.06,C
Siena Heights University,MI,2.06,C
Western Governors University,UT,2.06,C
Assumption College,MA,2.04,C
Clarke University,IA,2.04,C
Curry College,MA,2.04,C
Marian University,IN,2.04,C
Maryland Institute College of Art,MD,2.04,C
Salem College,NC,2.04,C
Southern Adventist University,TN,2.04,C
St. Francis College,NY,2.04,C
University of Scranton,PA,2.04,C
Wisconsin Lutheran College,WI,2.04,C
Duquesne University,PA,2.03,C
Houghton College,NY,2.03,C
Kansas Wesleyan University,KS,2.03,C
Laguna College of Art and Design,CA,2.03,C
Lebanon Valley College,PA,2.03,C
Roanoke College,VA,2.03,C
Universidad Adventista de las Antillas,PR,2.03,C
Universidad Politecnica de Puerto Rico,PR,2.03,C
Cedarville University,OH,2.02,C
Concordia University-Irvine,CA,2.02,C
Hampshire College,MA,2.02,C
Saint Augustine's University,NC,2.02,C
The University of Tampa,FL,2.02,C
Urbana University,OH,2.02,C
Valparaiso University,IN,2.02,C
Wagner College,NY,2.02,C
Alverno College,WI,2.01,C
Cumberland University,TN,2.01,C
Niagara University,NY,2.01,C
Ursuline College,OH,2.01,C
Wesleyan College,GA,2.01,C
Georgian Court University,NJ,2,C
Loyola University New Orleans,LA,2,C
Marietta College,OH,2,C
Monmouth University,NJ,2,C
